Image:train_13_dist185.png, Down:491.00, Right:428.50, Dist:180.55
Image:train_7_dist305.png, Down:584.00, Right:455.50, Dist:318.38
Image:train_2_dist305.png, Down:472.00, Right:162.00, Dist:314.82
Image:train_27_dist915.png, Down:418.00, Right:99.00, Dist:894.66
Image:train_16_dist730.png, Down:470.00, Right:441.00, Dist:796.92
Image:train_22_dist215.png, Down:349.00, Right:481.00, Dist:206.71
Image:train_26_dist915.png, Down:425.00, Right:482.50, Dist:894.66
Image:train_25_dist580.png, Down:417.00, Right:127.00, Dist:564.30
Image:train_10_dist610.png, Down:423.00, Right:491.00, Dist:564.30
Image:train_21_dist305.png, Down:394.00, Right:319.00, Dist:314.82
Image:train_5_dist760.png, Down:399.00, Right:134.00, Dist:755.56
Image:train_4_dist450.png, Down:316.00, Right:168.00, Dist:146.72
Image:train_3_dist460.png, Down:518.00, Right:69.50, Dist:449.54
Image:train_14_dist490.png, Down:549.00, Right:329.00, Dist:496.22
Image:train_1_dist915.png, Down:432.00, Right:314.00, Dist:985.08
Image:train_6_dist305.png, Down:482.00, Right:534.50, Dist:291.89
Image:train_15_dist90.png, Down:484.00, Right:426.00, Dist:92.68
Image:train_29_dist150.png, Down:565.00, Right:316.50, Dist:167.05
Image:train_31_dist305.png, Down:613.00, Right:299.00, Dist:285.92
Image:train_18_dist150.png, Down:563.00, Right:235.50, Dist:153.55
Image:train_17_dist245.png, Down:513.00, Right:343.50, Dist:231.12
Image:train_20_dist245.png, Down:495.00, Right:181.50, Dist:245.52
Image:train_19_dist460.png, Down:411.00, Right:428.00, Dist:471.75
Image:train_12_dist245.png, Down:498.00, Right:430.00, Dist:245.52
Image:train_24_dist365.png, Down:436.00, Right:324.00, Dist:358.86
